State,District,Season,Crop,Soil_Type,Area,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,3358.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.841
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,37991.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.766
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,455.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,4.842
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,20258.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.254
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,3475.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.604
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,39905.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.949
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,399.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,5.383
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,22099.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.59
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,769.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,15.205
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,2667.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.673
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,32878.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.908
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,447.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,6.472
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,38119.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.857
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,1582.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,0.292
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,3541.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,0.969
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,29066.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.282
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,1288.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,6.936
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,10960.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,1.867
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,19.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,52.947
Andhra Pradesh,ANANTAPUR,Whole year,grapes,Red,111.0,572.7,23.85,81.88,6.03,23.2,132.5,200.1,18.694
Andhra Pradesh,ANANTAPUR,Whole year,mango,Red,3968.0,572.7,31.21,50.16,5.77,20.1,27.2,29.9,6.597
Andhra Pradesh,ANANTAPUR,Whole year,orange,Red,13767.0,572.7,22.77,92.17,7.02,19.6,16.6,10.0,8.175
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,6246.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,1.716
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,17515.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.563
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,1212.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,5.6
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,10826.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.352
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,36.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,36.167
Andhra Pradesh,ANANTAPUR,Whole year,grapes,Red,118.0,572.7,23.85,81.88,6.03,23.2,132.5,200.1,17.356
Andhra Pradesh,ANANTAPUR,Whole year,mango,Red,3935.0,572.7,31.21,50.16,5.77,20.1,27.2,29.9,14.825
Andhra Pradesh,ANANTAPUR,Whole year,orange,Red,13441.0,572.7,22.77,92.17,7.02,19.6,16.6,10.0,16.713
Andhra Pradesh,ANANTAPUR,Whole year,papaya,Red,1381.0,572.7,33.72,92.4,6.74,49.9,59.0,50.0,43.474
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,3495.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.87
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,24335.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.495
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,3572.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.229
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,9240.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.34
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,324.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,52.151
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,5958.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,3.615
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,25008.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.798
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,1435.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.471
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,23142.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.402
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,303.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,53.568
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,4877.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,4.138
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,22349.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.017
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,3120.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.577
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,10846.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.948
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,289.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,48.931
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,7000.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,4.571
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,30000.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.167
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,6000.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,8.0
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,14000.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.643
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,6041.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,3.459
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,30306.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.122
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,3658.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,8.83
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,18416.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.705
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,3603.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,44.668
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,8852.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,4.962
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,32226.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.15
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,4615.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.31
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,19428.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.414
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,5010.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,53.09
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,10726.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,4.771
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,34973.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.917
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,4750.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,9.117
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,24828.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.795
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,4416.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,50.685
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,25447.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.494
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,37720.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.506
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,6208.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.759
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,10948.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.333
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,8000.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,63.147
Andhra Pradesh,ANANTAPUR,Kharif,grapes,Red,238.0,322.8,23.85,81.88,6.03,23.2,132.5,200.1,31.958
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,22039.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.882
Andhra Pradesh,ANANTAPUR,Kharif,mango,Red,6276.0,322.8,31.21,50.16,5.77,20.1,27.2,29.9,9.178
Andhra Pradesh,ANANTAPUR,Kharif,papaya,Red,447.0,322.8,33.72,92.4,6.74,49.9,59.0,50.0,38.472
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,22056.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.661
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,7070.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.086
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,6998.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.539
Andhra Pradesh,ANANTAPUR,Kharif,grapes,Red,247.0,322.8,23.85,81.88,6.03,23.2,132.5,200.1,22.85
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,27087.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,1.965
Andhra Pradesh,ANANTAPUR,Kharif,mango,Red,8711.0,322.8,31.21,50.16,5.77,20.1,27.2,29.9,8.57
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,28114.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,2.112
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,7777.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.454
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,12283.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.325
Andhra Pradesh,ANANTAPUR,Whole year,banana,Red,8661.0,572.7,27.38,80.36,5.98,100.2,82.0,50.0,55.869
Andhra Pradesh,ANANTAPUR,Kharif,grapes,Red,309.0,322.8,23.85,81.88,6.03,23.2,132.5,200.1,22.285
Andhra Pradesh,ANANTAPUR,Kharif,maize,Red,16839.0,322.8,22.39,65.09,6.25,77.8,48.4,19.8,2.535
Andhra Pradesh,ANANTAPUR,Kharif,mango,Red,11278.0,322.8,31.21,50.16,5.77,20.1,27.2,29.9,6.29
Andhra Pradesh,ANANTAPUR,Kharif,rice,Red,22658.0,322.8,23.69,82.27,6.43,79.9,47.6,39.9,3.008
Andhra Pradesh,ANANTAPUR,Rabi,maize,Red,4474.0,6.3,22.39,65.09,6.25,77.8,48.4,19.8,7.067
Andhra Pradesh,ANANTAPUR,Rabi,rice,Red,6553.0,6.3,23.69,82.27,6.43,79.9,47.6,39.9,2.194
Andhra Pradesh,ANANTAPUR,Whole year,rice,Red,29211.0,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.825
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,100.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,3.0
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,42300.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,1.995
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,57400.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.394
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,100.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,3.0
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,42000.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.51
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,100.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,3.0
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,62400.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.551
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,181.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,2.84
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,37542.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.01
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,67.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,4.836
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,37489.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.049
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,357.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,2.605
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,33776.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.642
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,56.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,5.393
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,41442.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.345
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,953.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,19.972
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,294.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,2.673
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,24377.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.269
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,81.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,6.469
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,62049.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.749
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,1005.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,7.12
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,261.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,0.969
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,20137.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.484
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,284.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,6.93
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,30034.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.558
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,960.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,52.959
Andhra Pradesh,CHITTOOR,Whole year,grapes,Red,36.0,898.2,23.85,81.88,6.03,23.2,132.5,200.1,18.694
Andhra Pradesh,CHITTOOR,Whole year,mango,Red,47834.0,898.2,31.21,50.16,5.77,20.1,27.2,29.9,7.004
Andhra Pradesh,CHITTOOR,Whole year,orange,Red,4.0,898.2,22.77,92.17,7.02,19.6,16.6,10.0,9.75
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,742.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,1.716
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,18495.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.085
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,392.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,5.599
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,27286.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,1.712
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,587.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,36.153
Andhra Pradesh,CHITTOOR,Whole year,grapes,Red,32.0,898.2,23.85,81.88,6.03,23.2,132.5,200.1,17.344
Andhra Pradesh,CHITTOOR,Whole year,mango,Red,48572.0,898.2,31.21,50.16,5.77,20.1,27.2,29.9,4.83
Andhra Pradesh,CHITTOOR,Whole year,orange,Red,6.0,898.2,22.77,92.17,7.02,19.6,16.6,10.0,16.0
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,509.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,2.87
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,19055.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.274
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,354.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,7.229
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,25822.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.679
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,586.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,52.15
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,417.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,5.156
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,16240.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.289
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,356.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,7.472
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,66351.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.918
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,468.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,53.568
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,386.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,3.57
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,17049.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.494
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,788.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,7.577
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,29164.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,2.918
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,556.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,48.93
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,1000.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,3.0
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,15000.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.8
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,1000.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,4.0
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,37000.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,3.135
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,843.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,4.67
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,17596.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.628
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,957.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,8.83
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,37927.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,3.128
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,708.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,31.624
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,1326.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,3.707
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,19758.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.844
Andhra Pradesh,CHITTOOR,Rabi,maize,Red,611.0,15.3,22.39,65.09,6.25,77.8,48.4,19.8,7.309
Andhra Pradesh,CHITTOOR,Rabi,rice,Red,35155.0,15.3,23.69,82.27,6.43,79.9,47.6,39.9,3.241
Andhra Pradesh,CHITTOOR,Whole year,banana,Red,769.0,898.2,27.38,80.36,5.98,100.2,82.0,50.0,53.09
Andhra Pradesh,CHITTOOR,Kharif,maize,Red,970.0,417.1,22.39,65.09,6.25,77.8,48.4,19.8,5.123
Andhra Pradesh,CHITTOOR,Kharif,rice,Red,18019.0,417.1,23.69,82.27,6.43,79.9,47.6,39.9,2.977
