Crop,Soil_Type,Rainfall,Temperature,Humidity,Soil_pH,N,P,K,Yield_tons_per_ha
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,6.187
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.755
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,8.592
rice,Loamy,2911.4,23.69,82.27,6.43,79.9,47.6,39.9,2.374
maize,Loamy,2911.4,22.39,65.09,6.25,77.8,48.4,19.8,3.466
banana,Loamy,2911.4,27.38,80.36,5.98,100.2,82.0,50.0,15.325
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,1.75
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.118
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.0
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.072
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.03
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.527
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,5.333
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.402
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.766
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.842
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.254
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.604
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.949
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,5.383
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.59
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,15.205
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.908
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,6.472
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.857
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,0.292
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.282
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,6.936
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,1.867
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,52.947
grapes,Red,572.7,23.85,81.88,6.03,23.2,132.5,200.1,18.694
mango,Red,572.7,31.21,50.16,5.77,20.1,27.2,29.9,6.597
orange,Red,572.7,22.77,92.17,7.02,19.6,16.6,10.0,8.175
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.563
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,5.6
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.352
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,36.167
grapes,Red,572.7,23.85,81.88,6.03,23.2,132.5,200.1,17.356
mango,Red,572.7,31.21,50.16,5.77,20.1,27.2,29.9,14.825
orange,Red,572.7,22.77,92.17,7.02,19.6,16.6,10.0,16.713
papaya,Red,572.7,33.72,92.4,6.74,49.9,59.0,50.0,43.474
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.87
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.495
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.229
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.34
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,52.151
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,3.615
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.798
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.471
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.402
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,53.568
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.138
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.017
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.577
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.948
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,48.931
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.571
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.167
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,8.0
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.643
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,3.459
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.122
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,8.83
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.705
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,44.668
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.962
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.15
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.31
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.414
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,53.09
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,4.771
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.917
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,9.117
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.795
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,50.685
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.494
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.506
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.759
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.333
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,63.147
grapes,Red,572.7,23.85,81.88,6.03,23.2,132.5,200.1,31.958
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.882
mango,Red,572.7,31.21,50.16,5.77,20.1,27.2,29.9,9.178
papaya,Red,572.7,33.72,92.4,6.74,49.9,59.0,50.0,38.472
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.661
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.086
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.539
grapes,Red,572.7,23.85,81.88,6.03,23.2,132.5,200.1,22.85
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,1.965
mango,Red,572.7,31.21,50.16,5.77,20.1,27.2,29.9,8.57
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.112
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.454
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.325
banana,Red,572.7,27.38,80.36,5.98,100.2,82.0,50.0,55.869
grapes,Red,572.7,23.85,81.88,6.03,23.2,132.5,200.1,22.285
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,2.535
mango,Red,572.7,31.21,50.16,5.77,20.1,27.2,29.9,6.29
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,3.008
maize,Red,572.7,22.39,65.09,6.25,77.8,48.4,19.8,7.067
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.194
rice,Red,572.7,23.69,82.27,6.43,79.9,47.6,39.9,2.825
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.0
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,1.995
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.394
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.0
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.51
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.0
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.551
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,2.84
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.01
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,4.836
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.049
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,2.605
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.642
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,5.393
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.345
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,19.972
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.269
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,6.469
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.749
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,7.12
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.484
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,6.93
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.558
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,52.959
grapes,Red,898.2,23.85,81.88,6.03,23.2,132.5,200.1,18.694
mango,Red,898.2,31.21,50.16,5.77,20.1,27.2,29.9,7.004
orange,Red,898.2,22.77,92.17,7.02,19.6,16.6,10.0,9.75
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.085
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,5.599
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,1.712
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,36.153
grapes,Red,898.2,23.85,81.88,6.03,23.2,132.5,200.1,17.344
mango,Red,898.2,31.21,50.16,5.77,20.1,27.2,29.9,4.83
orange,Red,898.2,22.77,92.17,7.02,19.6,16.6,10.0,16.0
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,2.87
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.274
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.229
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.679
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,52.15
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,5.156
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.289
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.472
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.918
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,53.568
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.57
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.494
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.577
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.918
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,48.93
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.0
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.8
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,4.0
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.135
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,4.67
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.628
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,8.83
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.128
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,31.624
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.707
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.844
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.309
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.241
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,53.09
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,5.123
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,2.977
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,9.117
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.019
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,50.685
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.316
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.213
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.759
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.353
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,63.147
grapes,Red,898.2,23.85,81.88,6.03,23.2,132.5,200.1,18.2
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,4.058
mango,Red,898.2,31.21,50.16,5.77,20.1,27.2,29.9,8.848
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.493
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.086
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.651
grapes,Red,898.2,23.85,81.88,6.03,23.2,132.5,200.1,18.13
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,4.033
mango,Red,898.2,31.21,50.16,5.77,20.1,27.2,29.9,8.832
papaya,Red,898.2,33.72,92.4,6.74,49.9,59.0,50.0,26.321
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.207
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,7.454
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.47
banana,Red,898.2,27.38,80.36,5.98,100.2,82.0,50.0,55.168
grapes,Red,898.2,23.85,81.88,6.03,23.2,132.5,200.1,29.125
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,3.275
mango,Red,898.2,31.21,50.16,5.77,20.1,27.2,29.9,7.154
papaya,Red,898.2,33.72,92.4,6.74,49.9,59.0,50.0,26.57
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.342
maize,Red,898.2,22.39,65.09,6.25,77.8,48.4,19.8,6.534
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.18
rice,Red,898.2,23.69,82.27,6.43,79.9,47.6,39.9,3.233
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,1.812
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.005
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.806
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.183
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.118
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,1.508
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,4.921
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.166
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.569
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,4.841
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.994
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.604
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.691
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,5.384
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.195
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,11.264
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.626
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,6.473
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.525
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,11.973
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.829
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,6.93
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.622
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,14.627
mango,Red,1106.0,31.21,50.16,5.77,20.1,27.2,29.9,4.884
orange,Red,1106.0,22.77,92.17,7.02,19.6,16.6,10.0,17.759
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.249
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,5.6
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,5.257
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,7.069
mango,Red,1106.0,31.21,50.16,5.77,20.1,27.2,29.9,2.469
orange,Red,1106.0,22.77,92.17,7.02,19.6,16.6,10.0,15.173
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.954
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.312
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,6.741
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.704
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,9.365
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.578
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,1.604
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,7.572
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.711
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,13.995
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.742
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.403
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,9.993
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,5.006
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,17.63
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.0
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.955
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,8.167
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.751
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.217
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.983
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,7.462
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.69
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,18.992
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.608
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.05
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,7.473
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.372
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,21.913
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,2.983
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,1.926
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,7.33
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.916
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,27.324
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.69
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,2.987
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,6.696
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.204
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,22.211
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.915
mango,Red,1106.0,31.21,50.16,5.77,20.1,27.2,29.9,9.936
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,1.531
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,7.555
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.422
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.17
mango,Red,1106.0,31.21,50.16,5.77,20.1,27.2,29.9,10.842
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,1.846
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,8.62
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,4.587
banana,Red,1106.0,27.38,80.36,5.98,100.2,82.0,50.0,12.382
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,3.311
mango,Red,1106.0,31.21,50.16,5.77,20.1,27.2,29.9,12.075
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.016
maize,Red,1106.0,22.39,65.09,6.25,77.8,48.4,19.8,8.083
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,5.245
rice,Red,1106.0,23.69,82.27,6.43,79.9,47.6,39.9,3.966
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,1.824
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,2.865
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,3.8
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.572
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,2.043
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.088
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,5.036
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.433
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,2.841
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.201
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,4.841
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.587
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,2.604
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.371
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,5.384
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.908
banana,Red,871.5,27.38,80.36,5.98,100.2,82.0,50.0,18.531
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,2.673
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.432
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,6.473
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,4.031
banana,Red,871.5,27.38,80.36,5.98,100.2,82.0,50.0,25.723
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,0.969
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,3.187
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,6.93
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,2.719
banana,Red,871.5,27.38,80.36,5.98,100.2,82.0,50.0,22.574
mango,Red,871.5,31.21,50.16,5.77,20.1,27.2,29.9,10.352
orange,Red,871.5,22.77,92.17,7.02,19.6,16.6,10.0,17.792
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,1.716
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,2.833
maize,Red,871.5,22.39,65.09,6.25,77.8,48.4,19.8,5.6
rice,Red,871.5,23.69,82.27,6.43,79.9,47.6,39.9,2.917
banana,Red,871.5,27.38,80.36,5.98,100.2,82.0,50.0,7.435
mango,Red,871.5,31.21,50.16,5.77,20.1,27.2,29.9,2.795
